id,finished,age,female,region,raceeth,smartphone,nodipdeg,hsged,somcol,aadeg,bach,ma,docprof,socloc,major,parented,empstat,occ,income,percclass,asian,black,hisp,white,multirace,otherrace,lower,working,middle,high,taste1,similarity,siminf,taste2,alterjob,altered,alterclass,altertaste,control,alterlike,surprise,classicaltaste,operataste,jazztaste,bwaysttaste,moodeztaste,bbandtaste,croldtaste,countrytaste,bluegtaste,folktaste,hymgostaste,latspsaltaste,raphiphoptaste,blurbtaste,reggaetaste,toppoptaste,controcktaste,indalttaste,danclubtaste,hvymtltaste,classicallis,operalis,jazzlis,bwaystlis,moodezlis,bbandlis,croldlis,countrylis,blueglis,folklis,hymgoslis,latspsallis,raphiphoplis,blurblis,reggaelis,toppoplis,controcklis,indaltlis,danclublis,hvymtllis,nonelis,favgen,classicalfemale,classicalmale,classicalwhite,classicalblack,classicalhisp,classicalasian,classicalgrad,classicalnocol,classicalyoung,classicalmidage,classicalold,classicallc,classicalwc,classicalmc,classicaluc,classicalnone,operafemale,operamale,operawhite,operablack,operahisp,operaasian,operagrad,operanocol,operayoung,operamidage,operaold,operalc,operawc,operamc,operauc,operanone,jazzfemale,jazzmale,jazzwhite,jazzblack,jazzhisp,jazzasian,jazzgrad,jazznocol,jazzyoung,jazzmidage,jazzold,jazzlc,jazzwc,jazzmc,jazzuc,jazznone,bwaystfemale,bwaystmale,bwaystwhite,bwaystblack,bwaysthisp,bwaystasian,bwaystgrad,bwaystnocol,bwaystyoung,bwaystmidage,bwaystold,bwaystlc,bwaystwc,bwaystmc,bwaystuc,bwaystnone,moodezfemale,moodezmale,moodezwhite,moodezblack,moodezhisp,moodezasian,moodezgrad,moodeznocol,moodezyoung,moodezmidage,moodezold,moodezlc,moodezwc,moodezmc,moodezuc,moodeznone,bbandfemale,bbandmale,bbandwhite,bbandblack,bbandhisp,bbandasian,bbandgrad,bbandnocol,bbandyoung,bbandmidage,bbandold,bbandlc,bbandwc,bbandmc,bbanduc,bbandnone,croldfemale,croldmale,croldwhite,croldblack,croldhisp,croldasian,croldgrad,croldnocol,croldyoung,croldmidage,croldold,croldlc,croldwc,croldmc,crolduc,croldnone,countryfemale,countrymale,countrywhite,countryblack,countryhisp,countryasian,countrygrad,countrynocol,countryyoung,countrymidage,countryold,countrylc,countrywc,countrymc,countryuc,countrynone,bluegfemale,bluegmale,bluegwhite,bluegblack,blueghisp,bluegasian,blueggrad,bluegnocol,bluegyoung,bluegmidage,bluegold,blueglc,bluegwc,bluegmc,blueguc,bluegnone,folkfemale,folkmale,folkwhite,folkblack,folkhisp,folkasian,folkgrad,folknocol,folkyoung,folkmidage,folkold,folklc,folkwc,folkmc,folkuc,folknone,hymgosfemale,hymgosmale,hymgoswhite,hymgosblack,hymgoshisp,hymgosasian,hymgosgrad,hymgosnocol,hymgosyoung,hymgosmidage,hymgosold,hymgoslc,hymgoswc,hymgosmc,hymgosuc,hymgosnone,latspsalfemale,latspsalmale,latspsalwhite,latspsalblack,latspsalhisp,latspsalasian,latspsalgrad,latspsalnocol,latspsalyoung,latspsalmidage,latspsalold,latspsallc,latspsalwc,latspsalmc,latspsaluc,latspsalnone,raphiphopfemale,raphiphopmale,raphiphopwhite,raphiphopblack,raphiphophisp,raphiphopasian,raphiphopgrad,raphiphopnocol,raphiphopyoung,raphiphopmidage,raphiphopold,raphiphoplc,raphiphopwc,raphiphopmc,raphiphopuc,raphiphopnone,blurbfemale,blurbmale,blurbwhite,blurbblack,blurbhisp,blurbasian,blurbgrad,blurbnocol,blurbyoung,blurbmidage,blurbold,blurblc,blurbwc,blurbmc,blurbuc,blurbnone,reggaefemale,reggaemale,reggaewhite,reggaeblack,reggaehisp,reggaeasian,reggaegrad,reggaenocol,reggaeyoung,reggaemidage,reggaeold,reggaelc,reggaewc,reggaemc,reggaeuc,reggaenone,toppopfemale,toppopmale,toppopwhite,toppopblack,toppophisp,toppopasian,toppopgrad,toppopnocol,toppopyoung,toppopmidage,toppopold,toppoplc,toppopwc,toppopmc,toppopuc,toppopnone,controckfemale,controckmale,controckwhite,controckblack,controckhisp,controckasian,controckgrad,controcknocol,controckyoung,controckmidage,controckold,controcklc,controckwc,controckmc,controckuc,controcknone,indaltfemale,indaltmale,indaltwhite,indaltblack,indalthisp,indaltasian,indaltgrad,indaltnocol,indaltyoung,indaltmidage,indaltold,indaltlc,indaltwc,indaltmc,indaltuc,indaltnone,danclubfemale,danclubmale,danclubwhite,danclubblack,danclubhisp,danclubasian,danclubgrad,danclubnocol,danclubyoung,danclubmidage,danclubold,danclublc,danclubwc,danclubmc,danclubuc,danclubnone,hvymtlfemale,hvymtlmale,hvymtlwhite,hvymtlblack,hvymtlhisp,hvymtlasian,hvymtlgrad,hvymtlnocol,hvymtlyoung,hvymtlmidage,hvymtlold,hvymtllc,hvymtlwc,hvymtlmc,hvymtluc,hvymtlnone
1,some missing data,25 - 29,female,Western Midwest,White,no,no,no,yes,no,no,no,no,LCC,Paralegal,parent no college,"working, part time or full time, paid employee","farming, fishing, and forestry","$30,000 - $39,999",working class,0,0,0,White,0,0,0,working,0,0,I like it very much,not very similar,education and occupation,NA,NA,NA,ES alters,DISLIKE,experimental group,alters dislike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99
2,some missing data,55 - 59,male,South Atlantic,White,no,no,no,no,no,yes,no,no,ES,Business Computing,parent college,"working, part time or full time, paid employee","construction, installation, production, maintenance, and repair","$50,000 - $59,999",middle class,0,0,0,White,0,0,0,0,middle,0,I like it,not at all similar,comination of both,I like it,NA,NA,LCC alters,DISLIKE,experimental group,alters dislike,NA,like,dislike,like,neither like nor dislike,neither like nor dislike,neither like nor dislike,like,dislike,neither like nor dislike,neither like nor dislike,dislike,neither like nor dislike,dislike,like,neither like nor dislike,neither like nor dislike,like,like,dislike,like,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,Classic rock/Oldies,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0
3,some missing data,25 - 29,female,West South,White,no,no,yes,no,no,no,no,no,LCC,none,parent no college,"working, part time or full time, paid employee",sales,"<$10,000",middle class,0,0,0,White,0,0,0,0,middle,0,I like it,not at all similar,education and occupation,NA,NA,NA,ES alters,LIKE,experimental group,alters like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99
4,some missing data,30 - 34,female,Mountain West,White,no,no,no,no,no,yes,no,no,CS,journalism,parent college,"working, part time or full time, paid employee","education, trianing and library","<$10,000",working class,0,0,0,White,0,0,0,working,0,0,I like it,somewhat similar,opinion about the painting,NA,NA,NA,LCC alters,LIKE,experimental group,alters like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99
5,some missing data,40 - 44,female,Mountain West,White,no,no,yes,no,yes,yes,no,no,CS,philosophy,parent no college,"working, part time or full time, self emplooyed",other,"$10,000 - $19,999",lower class,0,0,0,White,0,0,lower,0,0,0,I neither like it nor dislike it,NA,NA,NA,NA,NA,0,CONTROL,Control group 1 (no reference group),NA,NA,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Heavy metal,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99
6,some missing data,55 - 59,female,Pacific West,White,no,yes,no,no,no,no,no,no,LCC,none,parent no college,"working, part time or full time, self emplooyed",building and grounds cleaning/maintenance,"$90,000 - $99,999",middle class,0,0,0,White,0,0,0,0,middle,0,I neither like it nor dislike it,somewhat similar,NA,NA,NA,NA,0,LIKE,"Control group 2 (no occ/ed, gives taste)",alters like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99
7,some missing data,45 - 49,female,South Atlantic,White,yes,no,yes,no,no,no,no,no,LCC,none,parent no college,"not working, looking for work",other,"$20,000 - $29,999",working class,0,0,0,White,0,0,0,working,0,0,I neither like it nor dislike it,not at all similar,comination of both,NA,NA,NA,ES alters,DISLIKE,experimental group,alters dislike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99
8,some missing data,55 - 59,female,Western Midwest,White,no,no,yes,no,no,no,no,no,LCC,none,parent no college,"not working, looking for work",art and design,"$60,000 - $69,999",middle class,0,0,0,White,0,0,0,0,middle,0,I dislike it,just a little similar,education and occupation,NA,NA,NA,LCC alters,LIKE,experimental group,alters like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99
9,some missing data,55 - 59,male,West South,White,no,no,no,no,yes,yes,yes,no,CS,counseling,parent no college,"nto working, not looking for work",community and social service,"<$10,000",middle class,0,0,0,White,0,0,0,0,middle,0,I like it just a little,not at all similar,education and occupation,NA,NA,NA,LCC alters,DISLIKE,experimental group,alters dislike,NA,like,like,like,like,like,like,like,dislike,dislike,dislike,neither like nor dislike,dislike,dislike,like,like,like,like,dislike,dislike,dislike,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Classical,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99
10,some missing data,50 - 59,female,South Atlantic,White,no,no,yes,no,no,no,no,no,LCC,none,parent no college,"not working, homemaker",other,"$30,000 - $39,999",working class,0,0,0,White,0,0,0,working,0,0,I dislike it very much,NA,NA,NA,NA,NA,0,CONTROL,Control group 1 (no reference group),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA,NA,NA,NA,99
