Variable,Label,Type,Categories,Valid_N,Missing_N,Missing_Pct
id,Respondent Unique Identifier,Numeric,Range: 1 to 2275,2275,1,0.04
finished,"Survey finished status (0 = No, 1 = Yes)",Categorical (Labelled),some missing data = 0; complete record = 1,2275,1,0.04
age,age cats,Categorical (Labelled),18 - 19 = 2; 20 - 24 = 3; 25 - 29 = 4; 30 - 34 = 5; 35 - 39 = 6; 40 - 44 = 7; 45 - 49 = 8; 50 - 59 = 9; 55 - 59 = 10; 60 - 64 = 11; 65 - 69 = 12; 70 - 74 = 13; 75 - 79 = 14; 80+ = 15,2274,2,0.09
female,Are you male or female?,Categorical (Labelled),male = 0; female = 1,2274,2,0.09
region,Census region,Categorical (Labelled),New Enlgnad = 1; Middle Atlantic = 2; Eastern Midwest = 3; Western Midwest = 4; South Atlantic = 5; East South = 6; West South = 7; Mountain West = 8; Pacific West = 9,2274,2,0.09
raceeth,Which race/ethnicity group best describes you?,Categorical (Labelled),Asian = 1; Black = 2; Hispanic = 3; White = 4; >1 race = 5; other = 6,2274,2,0.09
smartphone,are you taking this survey from a smart phone?,Categorical (Labelled),no = 0; yes = 1,2275,1,0.04
nodipdeg,No diplomas or degrees,Categorical (Labelled),no = 0; yes = 1,2275,1,0.04
hsged,"High school diploma, GED, or other equivalent",Categorical (Labelled),no = 0; yes = 1,2275,1,0.04
somcol,"Some college, no degree",Categorical (Labelled),no = 0; yes = 1,2275,1,0.04
aadeg,Associates degree,Categorical (Labelled),no = 0; yes = 1,2275,1,0.04
bach,Bachelor's degree,Categorical (Labelled),no = 0; yes = 1,2275,1,0.04
ma,Master's degree,Categorical (Labelled),no = 0; yes = 1,2275,1,0.04
docprof,Professional or doctoral degree,Categorical (Labelled),no = 0; yes = 1,2275,1,0.04
socloc,Respondent's Social Location,Categorical (Labelled),LCC = 1; ES = 2; CS = 3,2275,1,0.04
major,"If you attended college, what as your major or field of study for your highest d",Character (Text),Free text responses,2276,0,0
parented,Did either of your parents complete a BA?,Categorical (Labelled),parent no college = 0; parent college = 1,2275,1,0.04
empstat,Which of the following best describes yoru current employment status?,Categorical (Labelled),"working, part time or full time, paid employee = 1; working, part time or full time, self emplooyed = 2; not working, currently enrolled in school = 3; not working, temporarily laid off = 4; not working, looking for work = 5; nto working, not looking for work = 6; not working, homemaker = 7; not working, retired = 8; not working, disabled = 9; not working, other = 10",2275,1,0.04
occ,Which of the following most closely matches your current occupation (or your mos,Categorical (Labelled),"business and financial = 1; computer and matematical = 2; architecture = 3; engineering = 4; life, physical, and social science = 5; community and social service = 6; legal = 7; education, trianing and library = 8; art and design = 9; entertainment, sports, and media = 10; healthcare practitioner = 11; healthcare support = 12; protective services = 13; military = 14; food preparation and serving = 15; building and grounds cleaning/maintenance = 16; personal care and services = 17; sales = 18; office and administrative support = 19; farming, fishing, and forestry = 20; construction, installation, production, maintenance, and repair = 21; transportation and material moving = 22; full time caregiver inside the home = 23; other = 24",2275,1,0.04
income,"What is your annual, pre-tax income from your job(s)?",Categorical (Labelled),"<$10,000 = 1; $10,000 - $19,999 = 2; $20,000 - $29,999 = 3; $30,000 - $39,999 = 4; $40,000 - $49,999 = 5; $50,000 - $59,999 = 6; $60,000 - $69,999 = 7; $70,000 - $79,999 = 8; $80,000 - $89,999 = 9; $90,000 - $99,999 = 10; $100,000 - $109,999 = 11; $110,000 - $119,999 = 12; $120,000 - $129,999 = 13; $130,000 - $139,999 = 14; $140,000 - $149,999 = 15; $150,000 - $159,999 = 16; $160,000 - $169,999 = 17; $170,000 - $179,999 = 18; $180,000 - $189,999 = 19; $190,000 - $199,999 = 20; $200,000 - $224,999 = 21; $225,000 - $249,999 = 22; $250,000+ = 23",2275,1,0.04
percclass,Which of these do you think best describes you?,Categorical (Labelled),lower class = 1; working class = 2; middle class = 3; upper class = 4,2275,1,0.04
asian,"Race/Ethnicity: Asian (0 = No, 1 = Yes)",Categorical (Labelled),Asian = 1,2274,2,0.09
black,"Race/Ethnicity: Black (0 = No, 1 = Yes)",Categorical (Labelled),Black = 1,2274,2,0.09
hisp,"Race/Ethnicity: Hispanic (0 = No, 1 = Yes)",Categorical (Labelled),Hispanic = 1,2274,2,0.09
white,"Race/Ethnicity: White (0 = No, 1 = Yes)",Categorical (Labelled),White = 1,2274,2,0.09
multirace,"Race/Ethnicity: More than one race (0 = No, 1 = Yes)",Categorical (Labelled),>1 race = 1,2274,2,0.09
otherrace,"Race/Ethnicity: Other race (0 = No, 1 = Yes)",Categorical (Labelled),other race = 1,2274,2,0.09
lower,"Self-described Class: Lower class (0 = No, 1 = Yes)",Categorical (Labelled),lower = 1,2275,1,0.04
working,"Self-described Class: Working class (0 = No, 1 = Yes)",Categorical (Labelled),working = 1,2275,1,0.04
middle,"Self-described Class: Middle class (0 = No, 1 = Yes)",Categorical (Labelled),middle = 1,2275,1,0.04
high,"Self-described Class: Upper class (0 = No, 1 = Yes)",Categorical (Labelled),high = 1,2275,1,0.04
taste1,Give us your first impression of this painting -- how much do you like it?,Categorical (Labelled),I like it very much = 1; I like it = 2; I like it just a little = 3; I neither like it nor dislike it = 4; I dislike it just a little = 5; I dislike it = 6; I dislike it very much = 7; I can't see the image = 98,2269,7,0.31
similarity,Given only what you know about [these people]...how similar do you think you are,Categorical (Labelled),very similar = 1; somewhat similar = 2; just a little similar = 3; not very similar = 4; not at all similar = 5; NA control = 98,2093,183,8.04
siminf,"When you thought about how similar you are to the people in thi sgroup, which fa",Categorical (Labelled),education and occupation = 1; opinion about the painting = 2; comination of both = 3; NA control = 98,1746,530,23.29
taste2,Give us your final impression about this painting -- how much do you like it?,Categorical (Labelled),I like it very much = 1; I like it = 2; I like it just a little = 3; I neither like it nor dislike it = 4; I dislike it just a little = 5; I dislike it = 6; I dislike it very much = 7; I can't see the image = 98,2258,18,0.79
alterjob,manipulation check: where do they work?,Categorical (Labelled),college or university = 1; restaurant = 2; financial investment firm = 3; NA control = 98,1736,540,23.73
altered,manipulation check: what is their highest level of education?,Categorical (Labelled),high school diploma = 1; Bachelor's degree = 2; PhD = 3; NA control = 98,1736,540,23.73
alterclass,REVISE LABELS TO SHARE,Categorical (Labelled),LCC alters = 1; ES alters = 2; CS alters = 3,2275,1,0.04
altertaste,reference group's opinion of the painting,Categorical (Labelled),CONTROL = 0; LIKE = 1; DISLIKE = 2,2275,1,0.04
control,Control group experimental ID,Categorical (Labelled),"experimental group = 0; Control group 1 (no reference group) = 1; Control group 2 (no occ/ed, gives taste) = 2",2275,1,0.04
alterlike,Experimental Condition: reference group liked (1) or disliked (0) the painting,Categorical (Labelled),alters dislike = 0; alters like = 1,2093,183,8.04
surprise,manipulation check:  was it surprising to you that the people in this group LIKE,Categorical (Labelled),very suprising = 1; somewhat surprising = 2; not at all surprising = 3; NA control = 98,1736,540,23.73
classicaltaste,Classical taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
operataste,Opera taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
jazztaste,Jazz taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
bwaysttaste,Broadway/Show tunes taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
moodeztaste,Mood/Easy listening taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
bbandtaste,Big band taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
croldtaste,Classic rock/Oldies taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
countrytaste,Country taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
bluegtaste,Bluegrass taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
folktaste,Folk taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
hymgostaste,Hymns/Gospel taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
latspsaltaste,Latin/Spanish/Salsa taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
raphiphoptaste,Rap/Hip-hop taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
blurbtaste,Blues/R&B taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
reggaetaste,Reggae taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
toppoptaste,Top 40/Pop taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
controcktaste,Contemporary rock taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
indalttaste,Indie/Alternative rock taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
danclubtaste,Dance/Club taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
hvymtltaste,Heavy metal taste,Categorical (Labelled),like = 1; dislike = 2; neither like nor dislike = 3; I am not familiar with this type of music = 4,2264,12,0.53
classicallis,Classical listen,Numeric,Range: 0 to 1,2264,12,0.53
operalis,Opera listen,Numeric,Range: 0 to 1,2264,12,0.53
jazzlis,Jazz listen,Numeric,Range: 0 to 1,2264,12,0.53
bwaystlis,Broadway/Show tunes listen,Numeric,Range: 0 to 1,2264,12,0.53
moodezlis,Mood/Easy listening listen,Numeric,Range: 0 to 1,2264,12,0.53
bbandlis,Big band listen,Numeric,Range: 0 to 1,2264,12,0.53
croldlis,Classic rock/Oldies listen,Numeric,Range: 0 to 1,2264,12,0.53
countrylis,Country listen,Numeric,Range: 0 to 1,2264,12,0.53
blueglis,Bluegrass listen,Numeric,Range: 0 to 1,2264,12,0.53
folklis,Folk listen,Numeric,Range: 0 to 1,2264,12,0.53
hymgoslis,Hymns/Gospel listen,Numeric,Range: 0 to 1,2264,12,0.53
latspsallis,Latin/Spanish/Salsa listen,Numeric,Range: 0 to 1,2264,12,0.53
raphiphoplis,Rap/Hip-hop listen,Numeric,Range: 0 to 1,2264,12,0.53
blurblis,Blues/R&B listen,Numeric,Range: 0 to 1,2264,12,0.53
reggaelis,Reggae listen,Numeric,Range: 0 to 1,2264,12,0.53
toppoplis,Top 40/Pop listen,Numeric,Range: 0 to 1,2264,12,0.53
controcklis,Contemporary rock listen,Numeric,Range: 0 to 1,2264,12,0.53
indaltlis,Indie/Alternative rock listen,Numeric,Range: 0 to 1,2264,12,0.53
danclublis,Dance/Club listen,Numeric,Range: 0 to 1,2264,12,0.53
hvymtllis,Heavy metal listen,Numeric,Range: 0 to 1,2264,12,0.53
nonelis,I have not listened to any of these in the last month,Numeric,Range: 0 to 1,2264,12,0.53
favgen,"Of these types of music, which is your favorite?",Categorical (Labelled),"Classical = 1; Opera = 2; Jazz = 3; Broadway or Show tunes = 4; Mood/Easy listening = 5; Big band = 6; Classic rock/Oldies = 7; Country = 8; Bluegrass = 9; Folk = 10; Hymns or Gospel = 11; Latin, Spanish or Salsa = 12; Rap/Hip-hop = 13; Blues/R&B = 14; Reggae = 15; Top 40/Pop = 16; Contemporary Rock = 17; Indie/Alternative Rock = 18; Dance/Club = 19; Heavy metal = 20",2264,12,0.53
classicalfemale,Typical Classical music fans: female,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
classicalmale,Typical Classical music fans: male,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
classicalwhite,Typical Classical music fans: white,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
classicalblack,Typical Classical music fans: black,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
classicalhisp,Typical Classical music fans: hisp,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
classicalasian,Typical Classical music fans: asian,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
classicalgrad,Typical Classical music fans: college graduate,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
classicalnocol,Typical Classical music fans: did not attend college,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
classicalyoung,Typical Classical music fans: young,Binary Indicator (0/1),0 = No; 1 = Yes,2275,1,0.04
classicalmidage,Typical Classical music fans: middle aged,Binary Indicator (0/1),0 = No; 1 = Yes,2275,1,0.04
classicalold,Typical Classical music fans: old,Binary Indicator (0/1),0 = No; 1 = Yes,2275,1,0.04
classicallc,Typical Classical music fans: lower class,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
classicalwc,Typical Classical music fans: working class,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
classicalmc,Typical Classical music fans: middle class,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
classicaluc,Typical Classical music fans: upper class,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
classicalnone,Typical Classical music fans: none of these,Binary Indicator (0/1),0 = No; 1 = Yes,2275,1,0.04
operafemale,Typical Opera music fans: female,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
operamale,Typical Opera music fans: male,Binary Indicator (0/1),0 = No; 1 = Yes,2274,2,0.09
